lesson_number,hanzi,pinyin,translation,proficiency
14,海伦,hǎilún,"Hailun county level city in Suihua 绥化 Heilongjiang, Helen or Hélène (name)",0
14,汤姆,tāngmǔ,Tom (name),0
15,医院,yīyuàn,hospital,0
15,看病,kànbìng,"to visit a doctor, to see a patient",0
15,病,bìng,"illness, sickness, disease",0
15,病人,bìngrén,"sick person, patient, invalid",0
15,肚子,dùzi,"belly, abdomen, stomach",0
15,疼死,téngsǐ,to really hurt,0
15,疼,téng,"aches, pains; be fond of; love",0
15,死,sǐ,die; dead; death,0
15,夜里,yèli,"during the night, at night, nighttime",0
15,好几,hǎojǐ,"several, quite a few",0
15,厕所,cèsuǒ,"toilet, lavatory",0
15,冰箱,bīngxiāng,"icebox, freezer cabinet, refrigerator",0
15,发烧,fāshāo,"to have a high temperature (from illness), to have a fever",0
15,躺下,tǎngxià,to lie down,0
15,躺,tǎng,"lie down, recline",0
15,检查,jiǎnchá,"inspection, to examine, to inspect",0
15,吃坏,chīhuài,to get sick because of bad food,0
15,坏,huài,"rotten, spoilt, bad, broken down",0
15,打针,dǎzhēn,to give or have an injection,0
15,针,zhēn,needle; pin; tack; acupuncture,0
15,药,yào,leaf of Dahurian angelica plant; medicine,0
15,片,piàn,"slice, splinter, strip; rad. 91",0
15,遍,biàn,"everywhere, all over, throughout",0
15,最好,zuìhǎo,"best, (you) had better (do what we suggest)",0
15,小时,xiǎoshí,hour (xiao…),0
15,办法,bànfǎ,"means, method, way (of doing sth)",0
15,感冒,gǎnmào,"to catch cold, (common) cold, (coll.) to be interested in (often used in the negative), (Tw) to detest, can't stand",0
15,生病,shēngbìng,to fall ill,0
15,身体,shēntǐ,"the body, one's health, in person",0
15,痒,yǎng,itch,0
15,过敏,guòmǐn,"oversensitive, allergic, allergy",0
15,药店,yàodiàn,pharmacy,0
15,健康,jiànkāng,"health, healthy",0
15,保险,bǎoxiǎn,"insurance, to insure, safe, secure, be sure, be bound to",0
15,赶快,gǎnkuài,"at once, immediately",0
15,要不然,yàobùrán,"otherwise, or else, or",0
15,越来越,yuèláiyuè,more and more,0
15,上次,shàngcì,last time,0
15,休息,xiūxi,"rest, to rest",0
15,懒,lǎn,"lazy, languid, listless",0
15,再说,zàishuō,"to say again, to put off a discussion until later, moreover, what's more, besides",0
15,乱,luàn,"confusion, state of chaos, revolt",0
16,同,tóng,"same, similar; together with",0
16,印象,yìnxiàng,impression,0
16,成,chéng,"completed, finished, fixed",0
16,演,yǎn,"perform, put on; exercise",0
16,费,fèi,"expenses, expenditures, fee",0
16,力气,lìqi,strength,0
16,俩,liǎ,"two, pair",0
16,后天,hòutiān,"the day after tomorrow, post-natal, acquired (not innate), a posteriori",0
16,一言为定,yīyánwéidìng,"one word and it's settled (idiom), It's a deal!, That's settled then.",0
16,记得,jìde,to remember,0
16,想起来,xiǎngqilai,"to remember, to recall",0
16,号码,hàomǎ,number,0
16,搬,bān,"transfer, move, remove, shift",0
16,打扫,dǎsǎo,"to clean, to sweep",0
16,整理,zhěnglǐ,"to arrange, to tidy up, to sort out, to straighten out, to list systematically, to collate (data, files), to pack (luggage)",0
16,房间,fángjiān,room,0
16,旅行,lǚxíng,"to travel, journey, trip",0
17,吵,chǎo,"argue, dispute; disturb, annoy",0
17,连,lián,"join, connect; continuous; even",0
17,做饭,zuòfàn,"to prepare a meal, to cook",0
17,报纸,bàozhǐ,"newspaper, newsprint",0
17,广告,guǎnggào,"to advertise, a commercial, advertisement",0
17,附近,fùjìn,"(in the) vicinity, nearby, neighboring, next to",0
17,套,tào,"case, cover, wrapper, envelope",0
17,公寓,gōngyù,"apartment building, block of flats",0
17,走路,zǒulù,"to walk, to go on foot",0
17,分钟,fēnzhōng,minute,0
17,卧室,wòshì,bedroom,0
17,厨房,chúfáng,kitchen,0
17,卫生间,wèishēngjiān,"bathroom, toilet, WC",0
17,客厅,kètīng,"drawing room (room for arriving guests), living room",0
17,家具,jiājù,furniture,0
17,一房一厅,yīfángyītīng,one bedroom and one living room,0
17,干净,gānjìng,"clean, neat",0
17,沙发,shāfā,"sofa (loanword), (Internet slang) the first reply or replier to a forum post",0
17,饭桌,fànzhuō,dining table,0
17,椅子,yǐzi,chair,0
17,书桌,shūzhuō,desk,0
17,书架,shūjià,bookshelf,0
17,那里,nàli,"there, that place; there, that place, also written 那里",0
17,安静,ānjìng,"quiet, peaceful, calm",0
17,房租,fángzū,rent for a room or house,0
17,元,yuán,first; dollar; origin; head,0
17,美元,měiyuán,"American dollar, US dollar",0
17,人民币,rénmínbì,"Renminbi (RMB), Chinese Yuan (CNY)",0
17,人民,rénmín,the people,0
17,币,bì,"currency, coins, legal tender",0
17,差不多,chàbuduō,"almost, nearly, more or less, about the same, good enough, not bad",0
17,押金,yājīn,"deposit, down payment",0
17,当,dāng,"bear, accept, undertake; just",0
17,另外,lìngwài,"additional, in addition, besides, separate, other, moreover, furthermore",0
17,准,zhǔn,"approve, allow, permit; in accord",0
17,养,yǎng,"raise, rear, bring up; support",0
17,宠物,chǒngwù,house pet,0
18,当然,dāngrán,"only natural, as it should be, certainly, of course, without doubt",0
18,胖,pàng,"fat, obese; fatty",0
18,怕,pà,"to fear, be afraid of; apprehensive",0
18,简单,jiǎndān,"simple, not complicated",0
18,跑步,pǎobù,"to run, to jog, (military) to march at the double",0
18,跑,pǎo,"run, flee, leave in hurry",0
18,难受,nánshòu,"to feel unwell, to suffer pain, to be difficult to bear",0
18,网球,wǎngqiú,"tennis, tennis ball",0
18,拍,pāi,"clap, tap, beat; beat or rhythm",0
18,篮球,lánqiú,basketball,0
18,游泳,yóuyǒng,"swimming, to swim",0
18,危险,wēixiǎn,"danger, dangerous",0
18,淹死,yānsǐ,to drown,0
18,愿意,yuànyì,"to wish, to want, ready, willing (to do sth)",0
18,为了,wèile,"in order to, for the purpose of, so as to",0
18,提高,tígāo,"to raise, to increase, to improve",0
18,水平,shuǐpíng,"level (of achievement etc), standard, horizontal",0
18,足球,zúqiú,"soccer ball, a football, soccer, football",0
18,比赛,bǐsài,"competition (sports etc), match",0
18,国际,guójì,international,0
18,美式,měishì,American style,0
18,脚,jiǎo,"leg, foot; base, leg, foundation",0
18,踢,tī,kick,0
18,手,shǒu,hand,0
18,抱,bào,"embrace, hold in arms, enfold",0
18,压,yā,press; oppress; crush; pressure,0
18,被,bèi,passive indicator 'by'; bedding,0
18,担心,dānxīn,"anxious, worried, uneasy, to worry, to be anxious",0
18,棒,bàng,"stick, club, truncheon; hit",0
18,运动服,yùndòngfú,sportswear,0
18,半天,bàntiān,"half of the day, a long time, quite a while, midair",0
19,马上,mǎshàng,"at once, right away, immediately, on horseback (i.e. by military force)",0
19,放假,fàngjià,to have a holiday or vacation,0
19,假,jiǎ,"falsehood, deception; vacation",0
19,公司,gōngsī,"(business) company, company, firm, corporation, incorporated",0
19,实习,shíxí,"to practice, field work, to intern, internship",0
19,打工,dǎgōng,"to work a temporary or casual job, (of students) to have a job outside of class time, or during vacation",0
19,计划,jìhuà,"plan, project, program, to plan, to map out",0
19,暑假,shǔjià,summer vacation,0
19,打算,dǎsuàn,"to plan, to intend, to calculate, plan, intention, calculation",0
19,父母,fùmǔ,"father and mother, parents",0
19,首都,shǒudū,capital (city),0
19,政治,zhèngzhì,"politics, political",0
19,文化,wénhuà,"culture, civilization, cultural",0
19,名胜古迹,míngshènggǔjì,historical sites and scenic spots,0
19,有名,yǒumíng,"famous, well-known",0
19,导游,dǎoyóu,"tour guide, guidebook, to conduct a tour",0
19,护照,hùzhào,passport,0
19,订,dìng,draw up agreement; arrange,0
19,签证,qiānzhèng,"visa, certificate, to certify",0
19,旅行社,lǚxíngshè,travel agency,0
19,长城,chángchéng,the Great Wall,0
19,香港,xiānggǎng,Hong Kong,0
19,台北,táiběi,"Taibei or Taipei, capital of Taiwan",0
19,初,chū,"beginning, initial, primary",0
19,单程,dānchéng,one way (ticket),0
19,往返,wǎngfǎn,"to go back and forth, to go to and fro, round trip",0
19,航空,hángkōng,aviation,0
19,查,chá,"investigate, examine, seek into",0
19,航班,hángbān,"scheduled flight, flight number, plane, scheduled sailing, sailing number, passenger ship",0
19,千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",0
19,直飞,zhífēi,"to fly directly, direct flight",0
19,打折,dǎzhé,to give a discount,0
19,转机,zhuǎnjī,"(to take) a turn for the better, to change planes",0
19,靠,kào,"lean on, trust, depend on; near",0
19,窗户,chuānghu,window,0
19,走道,zǒudào,"pavement, sidewalk, path, walk, footpath, aisle",0
19,旅馆,lǚguǎn,hotel,0
19,中国国际航空公司,zhōngguó guójì hángkōng gōngsī,Air China Ltd.,0
19,西北航空公司,xīběi hángkōng gōngsī,Northwest Airlines,0
20,行李,xíngli,luggage,0
20,托运,tuōyùn,"to consign (goods), to check through (baggage)",0
20,包,bāo,"wrap, pack, bundle; package",0
20,箱子,xiāngzi,"suitcase, chest, box, case, trunk",0
20,超重,chāozhòng,"overweight (baggage, freight)",0
20,超,chāo,"jump over, leap over; surpass",0
20,登机牌,dēngjīpái,boarding pass,0
20,牌,pái,"signboard, placard",0
20,登机口,dēngjīkǒu,departure gate (aviation),0
20,哭,kū,"weep, cry, wail",0
20,地,"de, dì","earth; soil, ground; region",0
20,照顾,zhàogu,"to take care of, to show consideration, to attend to, to look after",0
20,起飞,qǐfēi,(of an aircraft) to take off,0
20,小心,xiǎoxīn,"to be careful, to take care",0
20,一路平安,yīlùpíng'ān,"to have a pleasant journey, Bon voyage!",0
20,叔叔,shūshu,"father's younger brother, uncle, undefined",0
20,阿姨,āyí,"maternal aunt, step-mother, childcare worker, nursemaid, woman of similar age to one's parents (term of address used by child)",0
20,欢迎,huānyíng,"to welcome, welcome",0
20,瘦,shòu,"thin, emaciated, lean; meager",0
20,爷爷,yéye,"(coll.) father's father, paternal grandfather",0
20,奶奶,nǎinai,"(informal) grandma (paternal grandmother), (respectful) mistress of the house, (coll.) boobies, breasts",0
20,菜单,càidān,menu,0
20,鸡,jī,chicken,0
20,清蒸,qīngzhēng,steamed in broth,0
20,味道,wèidao,"flavor, smell, hint of",0
20,烤鸭,kǎoyā,roast duck,0
20,首都机场,shǒudūjīchǎng,"Beijing airport (PEK), also translated as Capital airport",0
